259	255	4	My Best Friend's Wedding (1997)
259	286	4	English Patient, The (1996)
259	298	4	Face/Off (1997)
259	185	4	Psycho (1960)
259	173	4	Princess Bride, The (1987)
259	108	4	Kids in the Hall: Brain Candy (1996)
259	772	4	Kids (1995)
259	288	3	Scream (1996)
259	928	4	Craft, The (1996)
259	117	4	Rock, The (1996)
259	200	4	Shining, The (1980)
259	405	3	Mission: Impossible (1996)
259	1074	3	Reality Bites (1994)
259	176	4	Aliens (1986)
259	210	4	Indiana Jones and the Last Crusade (1989)
259	357	5	One Flew Over the Cuckoo's Nest (1975)
851	687	2	McHale's Navy (1997)
851	284	3	Tin Cup (1996)
851	696	3	City Hall (1996)
851	295	5	Breakdown (1997)
851	473	4	James and the Giant Peach (1996)
851	544	4	Things to Do in Denver when You're Dead (1995)
851	290	4	Fierce Creatures (1997)
851	147	4	Long Kiss Goodnight, The (1996)
851	121	4	Independence Day (ID4) (1996)
851	717	3	Juror, The (1996)
712	1040	4	Two if by Sea (1996)
712	220	5	Mirror Has Two Faces, The (1996)
712	510	2	Magnificent Seven, The (1954)
712	417	4	Parent Trap, The (1961)
712	50	4	Star Wars (1977)
712	731	5	Corrina, Corrina (1994)
712	385	5	True Lies (1994)
712	623	4	Angels in the Outfield (1994)
712	66	5	While You Were Sleeping (1995)
712	97	5	Dances with Wolves (1990)
712	553	5	Walk in the Clouds, A (1995)
712	79	4	Fugitive, The (1993)
712	96	5	Terminator 2: Judgment Day (1991)
712	969	4	Winnie the Pooh and the Blustery Day (1968)
712	172	5	Empire Strikes Back, The (1980)
712	173	5	Princess Bride, The (1987)
712	181	5	Return of the Jedi (1983)
712	234	2	Jaws (1975)
712	402	4	Ghost (1990)
712	42	1	Clerks (1994)
712	421	4	William Shakespeare's Romeo and Juliet (1996)
712	498	3	African Queen, The (1951)
712	739	4	Pretty Woman (1990)
712	423	3	E.T. the Extra-Terrestrial (1982)
712	174	5	Raiders of the Lost Ark (1981)
712	692	5	American President, The (1995)
712	99	4	Snow White and the Seven Dwarfs (1937)
712	1220	5	Higher Learning (1995)
712	392	5	Man Without a Face, The (1993)
712	812	4	Andre (1994)
712	202	4	Groundhog Day (1993)
712	215	3	Field of Dreams (1989)
712	61	3	Three Colors: White (1994)
712	82	5	Jurassic Park (1993)
712	432	4	Fantasia (1940)
712	195	3	Terminator, The (1984)
712	462	3	Like Water For Chocolate (Como agua para chocolate) (1992)
712	69	3	Forrest Gump (1994)
712	746	4	Real Genius (1985)
712	1055	4	Simple Twist of Fate, A (1994)
712	177	2	Good, The Bad and The Ugly, The (1966)
712	776	4	Three Wishes (1995)
712	88	4	Sleepless in Seattle (1993)
712	4	4	Get Shorty (1995)
712	1469	4	Tom and Huck (1995)
712	238	3	Raising Arizona (1987)
712	785	5	Only You (1994)
712	365	3	Powder (1995)
712	419	3	Mary Poppins (1964)
712	585	4	Son in Law (1993)
712	660	4	Fried Green Tomatoes (1991)
712	1503	4	Gold Diggers: The Secret of Bear Mountain (1995)
712	228	3	Star Trek: The Wrath of Khan (1982)
712	560	3	Kid in King Arthur's Court, A (1995)
712	71	5	Lion King, The (1994)
712	72	4	Mask, The (1994)
712	210	5	Indiana Jones and the Last Crusade (1989)
712	622	4	Swiss Family Robinson (1960)
712	73	5	Maverick (1994)
712	141	3	20,000 Leagues Under the Sea (1954)
712	393	3	Mrs. Doubtfire (1993)
712	662	5	Somewhere in Time (1980)
712	584	4	Secret Garden, The (1993)
712	378	4	Miracle on 34th Street (1994)
712	716	5	Home for the Holidays (1995)
712	732	5	Dave (1993)
712	949	4	How to Make an American Quilt (1995)
712	191	3	Amadeus (1984)
712	196	4	Dead Poets Society (1989)
712	83	4	Much Ado About Nothing (1993)
712	59	2	Three Colors: Red (1994)
712	136	1	Mr. Smith Goes to Washington (1939)
712	230	3	Star Trek IV: The Voyage Home (1986)
712	404	3	Pinocchio (1940)
712	655	5	Stand by Me (1986)
712	1053	4	Now and Then (1995)
712	568	5	Speed (1994)
712	729	5	Nell (1994)
712	941	5	With Honors (1994)
712	495	4	Around the World in 80 Days (1956)
712	506	3	Rebel Without a Cause (1955)
712	60	1	Three Colors: Blue (1993)
712	486	4	Sabrina (1954)
712	946	4	Fox and the Hound, The (1981)
712	431	3	Highlander (1986)
712	747	3	Benny & Joon (1993)
712	95	4	Aladdin (1992)
712	38	4	Net, The (1995)
712	418	3	Cinderella (1950)
851	1014	3	Romy and Michele's High School Reunion (1997)
851	111	3	Truth About Cats & Dogs, The (1996)
851	845	3	That Thing You Do! (1996)
851	742	5	Ransom (1996)
851	405	5	Mission: Impossible (1996)
851	815	3	One Fine Day (1996)
851	824	4	Great White Hype, The (1996)
119	286	5	English Patient, The (1996)
119	300	5	Air Force One (1997)
119	322	4	Murder at 1600 (1997)
119	323	4	Dante's Peak (1997)
119	100	5	Fargo (1996)
119	275	5	Sense and Sensibility (1995)
119	458	5	Nixon (1995)
119	866	3	Michael (1996)
119	50	5	Star Wars (1977)
119	455	4	Jackie Chan's First Strike (1996)
119	741	4	Last Supper, The (1995)
119	235	5	Mars Attacks! (1996)
119	718	5	In the Bleak Midwinter (1995)
119	813	4	Celluloid Closet, The (1995)
119	277	4	Restoration (1995)
119	237	5	Jerry Maguire (1996)
119	298	4	Face/Off (1997)
119	1086	4	It's My Party (1995)
119	282	5	Time to Kill, A (1996)
